10:55:53.522 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:55:53.889 [main] INFO  com.polestar.ndcrefill.Main - Starting count in shipposition table: 154362
10:55:53.921 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 3134
10:55:53.979 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 156670 Current shipPositionID: 170000
10:55:53.979 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:55:54.280 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 68
10:55:54.281 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-08 10:55:54.281
10:55:54.308 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"12:38:15","trail_date":"2022-06-03","trail_time":"12:36:00","trail_latitude":"33.17866667","trail_longitude":"138.594","trail_speed":"18","trail_heading":"209","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.309 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"06:41:41","trail_date":"2022-06-03","trail_time":"06:36:00","trail_latitude":"34.754","trail_longitude":"139.6373333","trail_speed":"20.4","trail_heading":"197","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.310 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"00:38:44","trail_date":"2022-06-03","trail_time":"00:36:00","trail_latitude":"35.4","trail_longitude":"139.6346667","trail_speed":"0","trail_heading":"341","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.310 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"18:44:40","trail_date":"2022-06-02","trail_time":"18:36:00","trail_latitude":"35.4","trail_longitude":"139.6346667","trail_speed":"0","trail_heading":"341","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.311 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"12:38:19","trail_date":"2022-06-02","trail_time":"12:36:00","trail_latitude":"35.4","trail_longitude":"139.6346667","trail_speed":"0","trail_heading":"341","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.311 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"06:38:21","trail_date":"2022-06-02","trail_time":"06:36:00","trail_latitude":"35.4","trail_longitude":"139.6346667","trail_speed":"0","trail_heading":"341","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.311 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"00:41:31","trail_date":"2022-06-02","trail_time":"00:36:00","trail_latitude":"35.258","trail_longitude":"139.78","trail_speed":"11.2","trail_heading":"335","i_m_o_number":"9682552","DC_ID":"1019"}
10:55:54.312 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"21:12:18","trail_date":"2022-06-05","trail_time":"21:10:00","trail_latitude":"4.656666667","trail_longitude":"114.1793333","trail_speed":"0","trail_heading":"53","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.312 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"15:15:43","trail_date":"2022-06-05","trail_time":"15:10:00","trail_latitude":"4.656666667","trail_longitude":"114.1793333","trail_speed":"0","trail_heading":"53","i_m_o_number":"9708409","DC_ID":"1019"}
10:55:54.313 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"09:12:18","trail_date":"2022-06-05","trail_time":"09:10:00","trail_latitude":"4.733333333","trail_longitude":"114.1306667","trail_speed":"0","trail_heading":"188","i_m_o_number":"9708409","DC_ID":"1019"}
