10:46:39.191 [main] INFO  com.polestar.ndcrefill.Main - starting app
10:46:39.528 [main] INFO  com.polestar.ndcrefill.Main - ShipPosition Generator Value: 8783
10:46:39.570 [main] INFO  com.polestar.ndcrefill.Main - max ship position id is: 439143 Current shipPositionID: 440000
10:46:39.571 [main] INFO  com.polestar.ndcrefill.FileService - starting to process file
10:46:39.944 [main] INFO  com.polestar.ndcrefill.FileService - Positions count: 775
10:46:39.944 [main] INFO  com.polestar.ndcrefill.Main - Start: 2022-06-09 10:46:39.944
10:46:39.985 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"22:18:18","trail_date":"2022-06-03","trail_time":"22:16:00","trail_latitude":"35.81333333","trail_longitude":"-0.2493333333","trail_speed":"0","trail_heading":"190","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.986 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"16:18:29","trail_date":"2022-06-03","trail_time":"16:16:00","trail_latitude":"35.81333333","trail_longitude":"-0.2493333333","trail_speed":"0","trail_heading":"190","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.987 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"10:21:42","trail_date":"2022-06-03","trail_time":"10:16:00","trail_latitude":"35.81333333","trail_longitude":"-0.2493333333","trail_speed":"0","trail_heading":"190","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.987 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-03","creation_time":"04:21:33","trail_date":"2022-06-03","trail_time":"04:16:00","trail_latitude":"35.81333333","trail_longitude":"-0.2493333333","trail_speed":"0","trail_heading":"190","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.988 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"22:18:08","trail_date":"2022-06-02","trail_time":"22:16:00","trail_latitude":"35.836","trail_longitude":"-0.228","trail_speed":"4.2","trail_heading":"201","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.988 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"16:18:10","trail_date":"2022-06-02","trail_time":"16:16:00","trail_latitude":"36.508","trail_longitude":"0.684","trail_speed":"11.6","trail_heading":"236","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.989 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"10:18:16","trail_date":"2022-06-02","trail_time":"10:16:00","trail_latitude":"36.99933333","trail_longitude":"2.016","trail_speed":"12.6","trail_heading":"259","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.990 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-02","creation_time":"04:18:28","trail_date":"2022-06-02","trail_time":"04:16:00","trail_latitude":"37.14266667","trail_longitude":"3.474","trail_speed":"11.6","trail_heading":"261","i_m_o_number":"9809045","DC_ID":"1002"}
10:46:39.990 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"19:52:21","trail_date":"2022-06-05","trail_time":"19:50:00","trail_latitude":"36.432","trail_longitude":"0.4486666667","trail_speed":"8.4","trail_heading":"59","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.991 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"13:52:25","trail_date":"2022-06-05","trail_time":"13:50:00","trail_latitude":"35.81666667","trail_longitude":"-0.258","trail_speed":"0.8","trail_heading":"82","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.991 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"07:52:24","trail_date":"2022-06-05","trail_time":"07:50:00","trail_latitude":"35.81666667","trail_longitude":"-0.258","trail_speed":"0","trail_heading":"13","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.992 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-05","creation_time":"01:55:20","trail_date":"2022-06-05","trail_time":"01:50:00","trail_latitude":"35.81666667","trail_longitude":"-0.258","trail_speed":"0","trail_heading":"13","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.993 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"19:52:21","trail_date":"2022-06-04","trail_time":"19:50:00","trail_latitude":"35.81666667","trail_longitude":"-0.258","trail_speed":"0","trail_heading":"13","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.993 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"13:52:15","trail_date":"2022-06-04","trail_time":"13:50:00","trail_latitude":"35.81666667","trail_longitude":"-0.258","trail_speed":"0","trail_heading":"13","i_m_o_number":"9761267","DC_ID":"1002"}
10:46:39.994 [main] DEBUG com.polestar.ndcrefill.Main - {"creation_date":"2022-06-04","creation_time":"07:52:28","trail_date":"2022-06-04","trail_time":"07:50:00","trail_latitude":"35.81666667","trail_longitude":"-0.258","trail_speed":"0","trail_heading":"13","i_m_o_number":"9761267","DC_ID":"1002"}
